Date,Open,High,Low,Close
2025-03-13;248,8;249,27,;243,039993;245,8
2025-03-14;242,75;248,95,;241,67999;248,35001
2025-03-17;249,25;254,63,;249;252,97
2025-03-18;252,50999;252,57001,;245,12;246,95
2025-03-19;248,33;253,66,;246,64;252,28999
2025-03-20;244,24001;246,8,;237,22;243,32001
2025-03-21;241,69;245,21001,;238,5;243,87
2025-03-24;247,31;248,82001,;245,97;248,45
2025-03-25;248,36;250,89999,;248,2;249,89999
2025-03-26;251,25;254,32001,;249,53;250,34
2025-03-27;249,71001;250,3,;245,73;246,21001
2025-03-28;246,27;247,57001,;242,070007;244
2025-03-31;242,74001;250,89,;242,49001;248,66
2025-04-01;248,029999;250,62,;243,49001;250,34
2025-04-02;248,22;252,78999,;247,23;249,98
2025-04-03;242,71001;250,61,;242,53;243,49001
2025-04-04;238;240,16,;226,88;227,48
2025-04-07;219,24001;232,28999,;214,5;225,78
2025-04-08;232,56;233,050003,;217,28;221,029999
2025-04-09;217,12;236,3,;215,16;235,31
2025-04-10;231;232,57001,;222,020004;229,55
2025-04-11;229,72;237,58,;227,50999;235,48
2025-04-14;239,77;241,77,;236,73;239,059998
2025-04-15;239,55;241,53,;238,27;240,7
2025-04-16;240,28;243,3,;235,89;238,57001
2025-04-17;239,67999;241,78,;237,39999;238,81
2025-04-21;238,070007;240,81,;232,92999;236,22
2025-04-22;238,5;242,64,;238,020004;240,89999
2025-04-23;246;249,34,;243,66;245,48
2025-04-24;231,17999;232,78,;224,44;229,33
